,latitude,longitude,operator,address
0,46.0366441,11.1144243,Enel,"Enel, Via Stella, Man Malpensada, Maso Pez, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38123, Italia"
1,46.2716435,11.419167199999999,,"Giardini Kennedy, Via Rogge, Predaia, Castello-Molina di Fiemme, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
2,45.893294899999994,11.0357234,Dolomiti Energia,"Trade Center, Via Manzoni, San Giorgio, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
3,46.1509671,11.7993041,Azienda Consorziale Servizi Municipalizzati S.p.A.,"Azienda Consorziale Servizi Municipalizzati S.p.A., Via Nazionale, Imer, Comunità di Primiero, Trento, Trentino-Alto Adige/Südtirol, Italia"
4,46.0535,11.454103100000001,,"Giulia, 1a, Via Roma, Crosetta, Cimondè, Borgo Valsugana, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38051, Italia"
5,45.894237700000005,11.043512400000001,Dolomiti Energia,"Dolomiti Energia, Corso Bettini, Santa Maria, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
6,46.313331,10.800276,Route220,"Route220, Via Quirino Bezzi, Mezzana, Comunità della Valle di Sole, Trento, Trentino-Alto Adige/Südtirol, Italia"
7,46.050512899999994,11.442015800000002,Dolomiti Energia,"ECO fuel, Via Roma, Crosetta, Visle, Borgo Valsugana, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38050, Italia"
8,46.290416,11.4645784,Dolomiti Energia,"ECO fuel, Via Pizzegoda, Cavalese, Comunità territoriale della Val di Fiemme, Trento, Trentino-Alto Adige/Südtirol, 38033, Italia"
9,46.0737114,11.1207618,evway,"Route220, Via Dogana, San Martino, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
10,45.883588,11.0214315,evway,"ex Manifattura Tabacchi, Via delle Zigherane, Borgo Sacco, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38068, Italia"
11,46.363239799999995,11.097290199999998,,"Pineta Hotels, 17, Via al Santuario, Predaia, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38012, Italia"
12,46.06254860000001,11.6339719,,"Municipio di Castello Tesino, 12, Via Dante, Piazza G. Marconi, Castello Tesino, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38053, Italia"
13,46.1116624,11.0917558,Tesla Motors,"Trento Supercharger, Via Innsbruck, Spini di Gardolo, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
14,46.2243532,10.828073,,"AUDI Charging station, Via Vallesinella, Tre Ville, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38095, Italia"
15,46.0615848,11.115833199999999,,"e.motion / Muse, Corso del Lavoro e della Scienza, Le Albere, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38122, Italia"
16,46.0890395,11.1237692,Delta Energy,"Delta Energy, 8, Via Bassano, Piazzina, Nord Center, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
17,46.0985066,11.0534815,,"Vallelaghi, Comunità della Valle dei Laghi, Trento, Trentino-Alto Adige/Südtirol, Italia"
18,46.1634049,10.765551,,"Funivie Pinzolo, Via N. Bolognini, Pinzolo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38086, Italia"
19,46.1555859,10.756549099999999,,"Pineta, Via allo stadio, Pinzolo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38080, Italia"
20,46.1248283,10.756410699999998,,"Parco Giochi Crosetta, Via Nazionale, Strembo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38080, Italia"
21,46.0764281,10.724342300000002,,"Porte di Rendena, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38088, Italia"
22,46.041294,10.7313103,,"spalti, SP34, Tione di Trento, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38979, Italia"
23,46.44051029999999,11.136780499999999,,"Piazza A. Stefenelli, Piazza Don Alessandro Stefenelli, Maso Topa, Fondo, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 38013, Italia"
24,46.416815899999996,11.2074316,,"Dolomiti, SS42, Ruffrè-Mendola, Comunità della Val di Non, Trento, Trentino-Alto Adige/Südtirol, 39052, Italia"
25,45.8776343,10.5943761,,"bicigrill, SS237, Borgo Chiese, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38083, Italia"
26,45.928093200000006,10.6356728,,"Consorzio turistico valle del Chiese, 99, SS237, Pieve di Bono-Prezzo, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38085, Italia"
27,46.0637297,11.524178,,"Famiglia cooperativa Valsugana, Via Roma, Sièga, Località Penile, Castel Ivano, Comunità Valsugana e Tesino, Trento, Trentino-Alto Adige/Südtirol, 38059, Italia"
28,46.0617371,11.2379531,Comune di Pergine Valsugana,"Comune di Pergine Valsugana, Piazza Garibaldi, Maso Kronst, Pergine Valsugana, Comunità Alta Valsugana e Bersntol, Trento, Trentino-Alto Adige/Südtirol, 38057, Italia"
29,46.0900799,11.1185637,evway,"Evway, Via Antonio Pranzelores, Piazzina, Nord Center, Trento, Territorio Val d'Adige, Trento, Trentino-Alto Adige/Südtirol, 38121, Italia"
30,45.91980220000001,10.8837856,Hotel Pace 1954,"Tabacchino, Via Monte Santo, Bolognano, Arco, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38062, Italia"
31,46.2103071,11.094356800000002,,"LIDL, 79, Via Alcide De Gasperi, Mezzolombardo, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38017, Italia"
32,45.8155059,10.955737599999999,,"Tognotti, Brentonico, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
33,45.9177566,11.0348746,ENEL,"Villa Lagarina, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 39068, Italia"
34,46.140397,11.1063815,,"Lavis, Via Vittorio Alfieri, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
35,45.8783256,11.1546649,Alperia Smart Mobility,"SP138, Terragnolo, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38064, Italia"
36,45.851758399999994,11.1290989,Malga Valli,"Malga Valli, Strada delle Malghe, Trambileno, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, Italia"
37,45.8710326,10.8744934,,"Villa Magnolia, 8, Via della Lòva, Nago-Torbole, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38069, Italia"
38,45.960048,10.9134879,,"Bar-ristorante-pizzeria Alfio S.r.l., Strada Provinciale 84 di Cavedine, Dro, Comunità Alto Garda e Ledro, Trento, Trentino-Alto Adige/Südtirol, 38074, Italia"
39,45.8485003,11.001556800000001,A22,"Lizzana, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
40,45.9078934,11.040804800000002,,"Enel, SS12, Sant'Ilario, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 39068, Italia"
41,46.2246782,10.8283516,,"AUDI Charging station, Via Vallesinella, Tre Ville, Comunità delle Giudicarie, Trento, Trentino-Alto Adige/Südtirol, 38095, Italia"
42,46.1401489,11.0852793,A22,"Paganella Ovest, Area Paganella Ovest, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
43,46.140536299999994,11.087551600000001,A22,"Paganella Est, Area Paganella Est, Maso Ingran, Lavis, Comunità Rotaliana-Königsberg, Trento, Trentino-Alto Adige/Südtirol, 38015, Italia"
44,45.84854970000001,11.001537800000001,A22,"Lizzana, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
45,45.8486011,11.0015123,A22,"Lizzana, Rovereto, Comunità della Vallagarina, Trento, Trentino-Alto Adige/Südtirol, 38065, Italia"
