X,Y,nomepos,via,auto
46.075154,11.122080,Federazione Trentina Cooperative,Via Segantini (negli spazi assegnati presso la Federazione Trentina delle Cooperative),3
46.064570,11.123335,Piazza Fiera,via S. Croce (sul lato destro della strada tra la Cassa Rurale e il Ristorante Pedavena),1
46.069805,11.127728,Piazza Venezia,Piazza Venezia (zona Port'Aquila-vicino panificio),1
46.071605,11.121240,Piazza Dante,Piazza Dante (sul lato sinistro della strada vicino all?accesso al Parco di fronte al Palazzo della Regione),2
46.086696,11.121417,Solteri,Via dei Solteri (nel parcheggio posto tra il Parco Solteri e la Chiesa dei SS. Martiri Anaunensi di fronte al Supermercato COOP),1
46.065147,11.154472,Povo,Via dei Rivi (nella strada accanto alla Chiesa di Povo),1
46.056196,11.131354,Ospedale,Via Gocciadoro (nel parcheggio posto tra la Piscina Fogazzaro e l'Ospedale  di fianco al Ristorante Loto),1
45.890875,11.037390,Corso Rosmini,Corso Rosmini (all'altezza dell'incrocio con via Savioli),1
45.883986,11.021212,Manifattura,Piazza della Manifattura (all'interno del Piazzale di Manifattura Tabacchi),1
45.887621,10.841076,Terme Romane,Viale Pilati (presso il parcheggio Terme Romane),1